method,N,M,dt,rmse_vs_fine_time_reference,previous_M,recovered_temporal_order,stable,oscillations
Explicit,200,5000,0.0002,7.656708083744623e-05,,,True,No
Explicit,200,10000,0.0001,3.940865462937163e-05,5000.0,0.9582117566040471,True,No
Explicit,200,20000,5e-05,2.0877181171077256e-05,10000.0,0.9165855652719984,True,No
Explicit,200,40000,2.5e-05,1.1671866100821755e-05,20000.0,0.8388916950069428,True,No
Implicit,200,5000,0.0002,0.0001557910131530994,,,True,No
Implicit,200,10000,0.0001,7.652001253472823e-05,5000.0,1.0257029984203512,True,No
Implicit,200,20000,5e-05,3.6855219134260697e-05,10000.0,1.0539681735692021,True,No
Implicit,200,40000,2.5e-05,1.7027105671383046e-05,20000.0,1.1140357150734757,True,No
Rannacher,200,5000,0.0002,4.549721336673019e-05,,,True,No
Rannacher,200,10000,0.0001,2.1115522217576315e-05,5000.0,1.1074742576717909,True,No
Rannacher,200,20000,5e-05,9.024735118030917e-06,10000.0,1.2263474338508507,True,No
Rannacher,200,40000,2.5e-05,3.004149642624219e-06,20000.0,1.5869279104335594,True,No
